ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,ssl_interlog_key,base_key
98.0,2.0,0.0,0.0,0.0,8.95751,0.0,5892,181
33.0,2.0,0.0,0.0,0.0,23.05054285714286,0.0,14367,182
33.0,2.0,0.0,0.0,0.0,23.05054285714286,0.0,10409,183
28.0,2.0,0.0,0.0,0.0,23.839366666666667,0.0,2762,184
36.0,2.0,1.0,0.0,0.0,26.903538461538464,0.0,17267,185
34.0,1.0,1.0,0.0,0.0,22.203916666666668,0.0,6259,186
46.0,1.0,1.0,0.0,0.0,15.890479166666667,0.0,12780,187
22.0,1.0,1.0,0.0,0.0,22.122875000000004,0.0,8808,188
22.0,1.0,1.0,0.0,0.0,22.122875000000004,0.0,4870,189
22.0,1.0,1.0,0.0,0.0,22.122875000000004,0.0,5762,190
14.0,1.0,0.0,0.0,0.0,13.126133333333337,0.0,12136,191
13.0,1.0,0.0,0.0,0.0,13.91114285714286,0.0,17419,192
10.0,1.0,0.0,0.0,0.0,19.69336363636364,0.0,7918,193
2.0,0.0,0.0,0.0,0.0,0.02,0.0,19898,194
9.0,0.0,0.0,0.0,0.0,0.29611111111111105,0.0,13439,195
47.0,0.0,0.0,0.0,0.0,6.0508510638297865,0.0,6770,196
53.0,0.0,0.0,0.0,0.0,6.2486037735849065,0.0,11845,197
53.0,0.0,0.0,0.0,0.0,6.2486037735849065,0.0,962,198
44.0,0.0,0.0,0.0,0.0,7.466159090909093,0.0,18222,199
6.0,0.0,0.0,0.0,0.0,7.797666666666667,0.0,1803,200
1.0,0.0,0.0,0.0,0.0,0.054,0.0,8466,201
2.0,0.0,0.0,0.0,0.0,3.815,0.0,15456,202
2.0,0.0,0.0,0.0,0.0,3.815,0.0,18412,203
2.0,0.0,0.0,0.0,0.0,3.815,0.0,2598,204
2.0,0.0,0.0,0.0,0.0,3.815,0.0,13630,205
1.0,0.0,0.0,0.0,0.0,7.576,0.0,19048,206
4.0,0.0,1.0,0.0,0.0,78.1288,0.0,2422,207
5.0,0.0,1.0,0.0,0.0,78.76416666666667,0.0,7621,208
5.0,0.0,1.0,0.0,0.0,78.76416666666667,0.0,7140,209
5.0,0.0,1.0,0.0,0.0,78.76416666666667,0.0,544,210
39.0,0.0,1.0,0.0,0.0,14.637775000000001,0.0,11233,211
39.0,0.0,1.0,0.0,0.0,14.637775000000001,0.0,4764,212
44.0,0.0,0.0,0.0,0.0,5.354522727272728,0.0,19271,213
43.0,0.0,0.0,0.0,0.0,3.573441860465116,0.0,16387,214
43.0,0.0,0.0,0.0,0.0,3.573441860465116,0.0,15334,215
43.0,0.0,0.0,0.0,0.0,3.573441860465116,0.0,16649,216
72.0,1.0,0.0,0.0,0.0,6.661383561643835,0.0,9719,217
132.0,1.0,0.0,0.0,0.0,5.890676691729324,0.0,19322,218
123.0,1.0,0.0,0.0,0.0,5.989741935483871,0.0,14104,219
123.0,1.0,0.0,0.0,0.0,5.989741935483871,0.0,12443,220
123.0,1.0,0.0,0.0,0.0,5.989741935483871,0.0,3843,221
60.0,0.0,0.0,0.0,0.0,4.952983333333334,0.0,6629,222
2.0,1.0,1.0,0.0,0.0,124.33675,0.0,2335,223
14.0,2.0,1.0,0.0,0.0,41.78117647058823,0.0,7171,224
14.0,2.0,1.0,0.0,0.0,41.78117647058823,0.0,8706,225
14.0,2.0,1.0,0.0,0.0,41.78117647058823,0.0,13916,226
14.0,2.0,1.0,0.0,0.0,41.78117647058823,0.0,18934,227
14.0,2.0,1.0,0.0,0.0,41.78117647058823,0.0,10415,228
37.0,2.0,0.0,0.0,0.0,13.275307692307694,0.0,2,229
26.0,1.0,0.0,0.0,0.0,14.673444444444444,0.0,12248,230
26.0,1.0,0.0,0.0,0.0,14.673444444444444,0.0,4720,231
26.0,1.0,0.0,0.0,0.0,14.673444444444444,0.0,3043,232
28.0,1.0,0.0,0.0,0.0,13.73406896551724,0.0,1160,233
10.0,0.0,0.0,0.0,0.0,20.3927,0.0,10986,234
10.0,0.0,0.0,0.0,0.0,11.256499999999999,0.0,6685,235
31.0,1.0,0.0,0.0,0.0,15.396218750000001,0.0,13200,236
60.0,1.0,0.0,0.0,0.0,13.209590163934427,0.0,10022,237
106.0,1.0,1.0,0.0,0.0,9.929037037037036,0.0,8144,238
124.0,1.0,1.0,0.0,0.0,8.713531746031743,0.0,4111,239
103.0,0.0,2.0,0.0,0.0,9.731276190476189,0.0,15813,240
105.0,0.0,2.0,0.0,0.0,10.218130841121493,0.0,17467,241
153.0,1.0,2.0,0.0,0.0,9.469487179487178,0.0,14648,242
169.0,3.0,2.0,0.0,0.0,9.474327586206895,0.0,9256,243
156.0,3.0,1.0,0.0,0.0,9.817975,0.0,19699,244
137.0,3.0,1.0,0.0,0.0,10.95950354609929,0.0,3720,245
137.0,3.0,0.0,0.0,0.0,8.866407142857144,0.0,14018,246
135.0,3.0,0.0,0.0,0.0,8.476384057971014,0.0,1243,247
87.0,2.0,0.0,0.0,0.0,8.829674157303371,0.0,14193,248
41.0,0.0,0.0,0.0,0.0,7.340073170731707,0.0,16661,249
1.0,0.0,0.0,0.0,0.0,1.6059999999999999,0.0,18111,250
17.0,0.0,0.0,0.0,0.0,3.7748823529411766,0.0,10345,251
17.0,0.0,0.0,0.0,0.0,3.7748823529411766,0.0,8902,252
18.0,0.0,0.0,0.0,0.0,3.5811111111111114,0.0,8393,253
1.0,0.0,0.0,0.0,0.0,0.287,0.0,15006,254
1.0,0.0,0.0,0.0,0.0,0.287,0.0,3645,255
22.0,0.0,0.0,0.0,0.0,2.9922727272727268,0.0,11301,256
23.0,0.0,0.0,1.0,0.0,19.54354166666667,0.0,11561,257
67.0,0.0,0.0,1.0,0.0,8.786720588235294,0.0,3364,258
90.0,0.0,0.0,1.0,0.0,7.0448571428571425,0.0,13229,259
100.0,0.0,0.0,1.0,0.0,7.649920792079208,0.0,5533,260
100.0,0.0,0.0,1.0,0.0,7.649920792079208,0.0,13787,261
78.0,0.0,0.0,1.0,0.0,8.946987341772152,0.0,15756,262
77.0,0.0,0.0,0.0,0.0,3.942818181818182,0.0,11969,263
33.0,0.0,0.0,0.0,0.0,5.307424242424242,0.0,3675,264
10.0,0.0,0.0,0.0,0.0,13.156,0.0,15758,265
9.0,0.0,0.0,0.0,0.0,0.5502222222222223,0.0,17148,266
15.0,0.0,0.0,0.0,0.0,7.602266666666668,0.0,16569,267
33.0,1.0,0.0,0.0,0.0,9.529176470588235,0.0,16360,268
115.0,1.0,1.0,0.0,0.0,7.178034188034188,0.0,1798,269
115.0,1.0,1.0,0.0,0.0,7.178034188034188,0.0,3169,270
168.0,1.0,1.0,0.0,0.0,5.885041176470588,0.0,19685,271
184.0,2.0,1.0,0.0,0.0,6.067684491978611,0.0,13733,272
168.0,2.0,1.0,0.0,0.0,6.432274853801169,0.0,17937,273
86.0,2.0,0.0,0.0,0.0,6.637284090909091,0.0,6030,274
86.0,2.0,0.0,0.0,0.0,6.637284090909091,0.0,19274,275
69.0,4.0,0.0,0.0,0.0,13.069438356164385,0.0,5852,276
70.0,3.0,0.0,0.0,0.0,14.11798630136986,0.0,1176,277
68.0,2.0,0.0,0.0,0.0,12.2199,0.0,2570,278
68.0,2.0,0.0,0.0,0.0,12.2199,0.0,9787,279
68.0,2.0,0.0,0.0,0.0,12.2199,0.0,9487,280
56.0,0.0,1.0,0.0,0.0,14.680543859649122,0.0,12343,281
78.0,1.0,1.0,0.0,0.0,10.3696625,0.0,9933,282
98.0,1.0,1.0,0.0,0.0,8.7105,0.0,1516,283
98.0,1.0,1.0,0.0,0.0,8.7105,0.0,5027,284
98.0,1.0,1.0,0.0,0.0,8.7105,0.0,11851,285
98.0,1.0,1.0,0.0,0.0,8.7105,0.0,7733,286
66.0,1.0,0.0,0.0,0.0,6.324999999999999,0.0,8023,287
23.0,0.0,0.0,1.0,0.0,22.13925,0.0,425,288
3.0,0.0,0.0,1.0,0.0,122.46625,0.0,10662,289
3.0,0.0,0.0,1.0,0.0,122.46625,0.0,15464,290
3.0,0.0,0.0,1.0,0.0,122.46625,0.0,13700,291
2.0,0.0,0.0,1.0,0.0,140.05833333333334,0.0,14961,292
11.0,0.0,0.0,0.0,0.0,15.591363636363639,0.0,1844,293
98.0,1.0,0.0,0.0,0.0,7.284383838383838,0.0,6956,294
102.0,2.0,1.0,0.0,0.0,11.673133333333334,0.0,19179,295
131.0,3.0,1.0,0.0,0.0,12.310829629629632,0.0,9045,296
131.0,4.0,2.0,0.0,0.0,15.651218978102191,0.0,6726,297
126.0,5.0,2.0,0.0,0.0,17.10387969924812,0.0,1749,298
45.0,4.0,2.0,0.0,0.0,35.13025490196078,0.0,19853,299
45.0,4.0,2.0,0.0,0.0,35.13025490196078,0.0,18871,300
88.0,4.0,1.0,0.0,0.0,19.38250537634409,0.0,3302,301
116.0,3.0,1.0,0.0,0.0,13.168775,0.0,11737,302
116.0,2.0,0.0,0.0,0.0,9.305067796610167,0.0,12694,303
111.0,2.0,1.0,0.0,0.0,10.899929824561404,0.0,5947,304
105.0,3.0,1.0,0.0,0.0,12.34294495412844,0.0,4732,305
105.0,3.0,1.0,0.0,0.0,12.34294495412844,0.0,2427,306
71.0,4.0,1.0,0.0,0.0,17.212763157894738,0.0,14235,307
54.0,5.0,1.0,0.0,0.0,25.650716666666668,0.0,18691,308
72.0,6.0,1.0,0.0,0.0,23.344189873417726,0.0,15262,309
71.0,5.0,0.0,0.0,0.0,18.388065789473682,0.0,2304,310
83.0,5.0,0.0,0.0,0.0,18.002261363636364,0.0,15119,311
90.0,5.0,0.0,1.0,0.0,20.229260416666666,0.0,7912,312
